timestamp,zone,object,confidence
2026-09-01T14:19:03.278147,zone_1,person,0.62
2026-09-01T14:19:03.322208,zone_2,person,0.83
2026-09-01T14:19:06.302031,zone_1,person,0.92
2026-09-01T14:19:09.339200,zone_1,person,0.92
2026-09-01T14:19:11.912509,zone_2,person,0.92
2026-09-01T14:19:12.447942,zone_1,person,0.92
2026-09-01T14:19:14.916652,zone_2,person,0.94
2026-09-01T14:19:17.302643,zone_1,person,0.66
2026-09-01T14:19:17.930959,zone_2,person,0.88
2026-09-01T14:19:20.533853,zone_1,dog,0.57
2026-09-01T14:19:20.936137,zone_2,person,0.5
2026-09-01T14:19:24.277191,zone_1,dog,0.66
2026-09-01T14:19:24.730639,zone_1,person,0.6
2026-09-01T14:19:24.767692,zone_2,person,0.62
2026-09-01T14:19:27.769071,zone_2,person,0.72
2026-09-01T14:19:28.959312,zone_1,person,0.61
2026-09-01T14:19:31.144401,zone_2,person,0.71
2026-09-01T14:19:32.151006,zone_1,person,0.6
2026-09-01T14:19:33.939233,zone_1,chair,0.57
2026-09-01T14:19:34.177964,zone_2,person,0.87
2026-09-01T14:19:35.751645,zone_1,person,0.56
2026-09-01T14:19:35.966949,zone_2,tie,0.52
2026-09-01T14:19:36.838991,zone_2,toothbrush,0.57
2026-09-01T14:19:38.720254,zone_1,toothbrush,0.69
2026-09-01T14:19:38.756761,zone_1,person,0.74
2026-09-01T14:19:39.843469,zone_2,toothbrush,0.73
2026-09-01T14:19:40.670648,zone_1,tv,0.53
2026-09-01T14:19:41.202319,zone_2,chair,0.51
2026-09-01T14:19:41.765836,zone_1,person,0.86
2026-09-01T14:19:43.636443,zone_2,toothbrush,0.64
2026-09-01T14:19:44.786286,zone_1,person,0.7
2026-09-01T14:19:45.652936,zone_2,person,0.57
2026-09-01T14:19:47.792117,zone_1,person,0.88
2026-09-01T14:19:48.432167,zone_2,toothbrush,0.62
2026-09-01T14:19:49.843286,zone_2,person,0.9
2026-09-01T14:19:52.857502,zone_2,person,0.92
2026-09-01T14:19:55.764022,zone_1,person,0.92
2026-09-01T14:19:55.903668,zone_2,person,0.93
2026-09-01T14:19:58.942225,zone_2,person,0.91
2026-09-01T14:20:01.950390,zone_2,person,0.92
2026-09-01T14:20:04.990519,zone_2,person,0.91
2026-09-01T14:20:08.032690,zone_2,person,0.93
2026-09-01T14:20:11.041403,zone_2,person,0.92
2026-09-01T14:20:14.073601,zone_2,person,0.92
2026-09-01T14:20:17.108547,zone_2,person,0.92
2026-09-01T14:20:20.115438,zone_2,person,0.9
2026-09-01T14:20:23.165980,zone_2,person,0.91
2026-09-01T14:20:24.421785,zone_1,person,0.9
2026-09-01T14:20:25.731472,zone_2,tie,0.56
2026-09-01T14:20:27.446867,zone_1,person,0.92
2026-09-01T14:20:29.575566,zone_2,person,0.91
2026-09-01T14:20:32.605211,zone_2,person,0.9
2026-09-01T14:20:35.657930,zone_2,person,0.89
2026-09-01T14:20:38.102541,zone_1,person,0.9
2026-09-01T14:20:38.998922,zone_2,person,0.9
2026-09-01T14:20:41.110541,zone_1,person,0.91
2026-09-01T14:20:44.155409,zone_1,person,0.91
2026-09-01T14:20:46.294160,zone_2,person,0.89
2026-09-01T14:20:47.234389,zone_1,person,0.89
2026-09-01T14:20:50.270754,zone_1,person,0.92
2026-09-01T14:20:53.313745,zone_1,person,0.9
2026-09-01T14:20:56.333751,zone_1,person,0.88
2026-09-01T14:20:59.373726,zone_1,person,0.91
2026-09-01T14:20:59.448806,zone_2,person,0.9
2026-09-01T14:21:00.865088,zone_2,person,0.85
2026-09-01T14:21:02.496822,zone_2,person,0.91
2026-09-01T14:21:02.828437,zone_1,person,0.92
2026-09-01T14:21:04.060880,zone_2,person,0.61
2026-09-01T14:21:05.866257,zone_1,person,0.91
2026-09-01T14:21:07.117739,zone_2,person,0.65
2026-09-01T14:21:07.409705,zone_2,person,0.91
2026-09-01T14:21:09.004691,zone_1,person,0.9
2026-09-01T14:21:10.383675,zone_2,person,0.53
2026-09-01T14:21:12.058185,zone_1,person,0.91
2026-09-01T14:21:12.552454,zone_2,person,0.86
2026-09-01T14:21:13.136742,zone_1,tv,0.54
2026-09-01T14:21:13.506152,zone_2,person,0.84
2026-09-01T14:21:16.518013,zone_2,person,0.83
2026-09-01T14:21:19.539247,zone_2,person,0.89
2026-09-01T14:21:22.567981,zone_2,person,0.9
2026-09-01T14:21:25.572018,zone_2,person,0.67
2026-09-01T14:21:27.632027,zone_1,person,0.77
2026-09-01T14:21:29.534598,zone_2,person,0.81
2026-09-01T14:21:29.700928,zone_2,skateboard,0.67
2026-09-01T14:21:29.742929,zone_1,baseball bat,0.71
2026-09-01T14:21:30.011607,zone_1,traffic light,0.71
2026-09-01T14:21:30.644690,zone_1,person,0.8
2026-09-01T14:21:31.070368,zone_2,toothbrush,0.61
2026-09-01T14:21:32.736694,zone_2,person,0.61
2026-09-01T14:21:35.434853,zone_2,baseball bat,0.6
2026-09-01T14:21:35.658363,zone_1,person,0.52
2026-09-01T14:21:36.110204,zone_2,person,0.58
2026-09-01T14:21:36.615570,zone_1,dog,0.54
2026-09-01T14:21:37.827381,zone_2,toothbrush,0.52
2026-09-01T14:21:38.545606,zone_1,baseball bat,0.74
2026-09-01T14:21:38.825865,zone_1,person,0.57
2026-09-01T14:21:39.134427,zone_2,person,0.84
2026-09-01T14:21:42.157547,zone_2,person,0.88
2026-09-01T14:21:45.158105,zone_2,person,0.82
2026-09-01T14:21:48.163174,zone_2,person,0.88
2026-09-01T14:21:51.245685,zone_2,person,0.86
2026-09-01T14:21:54.263999,zone_2,person,0.89
2026-09-01T14:21:57.338665,zone_2,person,0.88
2026-09-01T14:21:58.591895,zone_1,person,0.81
2026-09-01T14:22:00.381072,zone_2,person,0.87
2026-09-01T14:22:03.415399,zone_2,person,0.86
2026-09-01T14:23:26.952331,zone_2,person,0.86
2026-09-01T14:23:29.952405,zone_2,person,0.88
2026-09-01T14:23:30.277082,zone_1,person,0.76
2026-09-01T14:23:34.133503,zone_2,person,0.51
2026-09-01T14:23:34.399075,zone_1,refrigerator,0.52
2026-09-01T14:23:36.402621,zone_1,person,0.64
2026-09-01T14:23:37.147934,zone_2,person,0.85
2026-09-01T14:23:40.156858,zone_2,person,0.84
2026-09-01T14:23:41.983478,zone_1,person,0.71
2026-09-01T14:23:41.984478,zone_1,tv,0.6
2026-09-01T14:25:36.610445,zone_1,person,0.81
2026-09-01T14:25:36.918487,zone_2,person,0.9
2026-09-01T14:25:39.920037,zone_2,person,0.91
2026-09-01T14:25:42.941249,zone_2,person,0.91
2026-09-01T14:25:45.966064,zone_2,person,0.91
2026-09-01T14:25:48.972253,zone_2,person,0.92
2026-09-01T14:25:50.799831,zone_1,person,0.9
2026-09-01T14:25:51.990799,zone_2,person,0.84
2026-09-01T14:25:53.823191,zone_1,person,0.87
2026-09-01T14:25:55.026717,zone_2,person,0.82
2026-09-01T14:25:57.300069,zone_2,baseball bat,0.56
2026-09-01T14:25:58.035049,zone_2,person,0.81
2026-09-01T14:25:58.073851,zone_1,person,0.83
2026-09-01T14:26:01.044179,zone_2,person,0.91
2026-09-01T14:29:11.510583,zone_2,person,0.93
2026-09-01T14:29:14.579234,zone_2,person,0.93
2026-09-01T14:29:16.346097,zone_1,person,0.93
2026-09-01T14:29:18.771273,zone_2,person,0.92
2026-09-01T14:29:19.505874,zone_1,person,0.9
2026-09-01T14:29:22.508650,zone_1,person,0.93
2026-09-01T14:29:25.539509,zone_1,person,0.89
2026-09-01T14:29:25.963532,zone_2,tie,0.61
2026-09-01T14:29:26.449726,zone_2,person,0.85
2026-09-01T14:29:26.830326,zone_2,toothbrush,0.61
2026-09-01T14:29:28.556859,zone_1,person,0.68
2026-09-01T14:29:29.606110,zone_2,person,0.6
2026-09-01T14:29:30.009976,zone_2,toothbrush,0.75
2026-09-01T14:29:32.618970,zone_2,person,0.66
2026-09-01T14:29:35.074907,zone_2,toothbrush,0.7
2026-09-01T14:29:35.645501,zone_1,person,0.92
2026-09-01T14:29:37.029539,zone_2,person,0.88
2026-09-01T14:29:38.646028,zone_1,tv,0.73
2026-09-01T14:29:38.693029,zone_1,person,0.82
2026-09-01T14:29:39.443502,zone_2,kite,0.75
2026-09-01T14:29:39.880449,zone_2,traffic light,0.68
2026-09-01T14:29:39.970615,zone_2,toothbrush,0.86
2026-09-01T14:29:41.703226,zone_1,toothbrush,0.64
2026-09-01T14:29:41.795809,zone_1,tv,0.65
2026-09-01T14:29:41.857829,zone_1,cat,0.74
2026-09-01T14:29:42.463145,zone_1,person,0.61
2026-09-01T14:29:43.943994,zone_1,baseball bat,0.73
2026-09-01T14:29:44.718557,zone_1,toothbrush,0.75
2026-09-01T14:29:45.493733,zone_1,person,0.73
2026-09-01T14:29:47.102336,zone_2,toothbrush,0.96
2026-09-01T14:29:47.397032,zone_2,person,0.81
2026-09-01T14:29:50.420947,zone_2,person,0.9
2026-09-01T14:29:51.169530,zone_1,person,0.66
